#     HJD               B           errB
2460339.72152543      14.6697       0.0054
2460339.72378645      14.6571       0.0054
2460339.72604572      14.6476       0.0054
2460339.72830506      14.6257       0.0054
2460339.73056441      14.6073       0.0054
2460339.73282597      14.5849       0.0054
2460339.73508583      14.5740       0.0054
2460339.73735723      14.5541       0.0054
2460339.73960946      14.5491       0.0054
2460339.74186985      14.5329       0.0054
2460339.74413002      14.5227       0.0054
2460339.74639031      14.5068       0.0045
2460339.74865084      14.4960       0.0054
2460339.75091123      14.4992       0.0054
2460339.75318018      14.4767       0.0045
2460339.75543243      14.4707       0.0045
2460339.75769204      14.4568       0.0045
2460339.75995920      14.4446       0.0045
2460339.76221339      14.4501       0.0045
2460339.76447357      14.4382       0.0045
2460339.76673767      14.4407       0.0045
2460339.76899496      14.4249       0.0045
2460339.77125501      14.4236       0.0045
2460339.77351624      14.4238       0.0045
2460339.77577735      14.4229       0.0045
2460339.77803901      14.4293       0.0045
2460339.78030198      14.4275       0.0045
2460339.78256164      14.4300       0.0045
2460339.78482253      14.4482       0.0045
2460339.78709244      14.4499       0.0045
2460339.78934330      14.4489       0.0045
2460339.79160343      14.4601       0.0054
2460339.79386669      14.4737       0.0045
2460339.79612859      14.4857       0.0054
2460339.79839109      14.4902       0.0054
2460339.80065183      14.5102       0.0054
2460339.80291313      14.5202       0.0054
2460339.80517502      14.5368       0.0054
2460339.80743780      14.5548       0.0054
2460339.80970040      14.5652       0.0054
2460339.81196088      14.5655       0.0054
2460339.81422067      14.5768       0.0054
2460339.81648642      14.5989       0.0054
2460339.81875038      14.6127       0.0054
2460339.82101239      14.6357       0.0054
2460339.82327329      14.6477       0.0054
2460339.82553496      14.6643       0.0054
2460339.82779593      14.6710       0.0054
2460339.83005899      14.6772       0.0054
2460339.83232799      14.6850       0.0054
2460339.83458885      14.6847       0.0054
2460339.83685295      14.6922       0.0054
2460339.83911654      14.6908       0.0054
2460339.84137989      14.6823       0.0054
2460339.84365455      14.6673       0.0054
2460339.84590741      14.6614       0.0054
2460339.84817094      14.6452       0.0054
2460339.85043468      14.6317       0.0054
2460339.85269717      14.6186       0.0054
2460339.85495952      14.6011       0.0054
2460339.85722418      14.5812       0.0054
2460339.85948656      14.5686       0.0054
2460339.86175224      14.5539       0.0054
2460339.86401698      14.5422       0.0054
2460339.86628100      14.5284       0.0054
2460339.86854559      14.5215       0.0054
2460339.87080933      14.4965       0.0054
2460339.87307470      14.4910       0.0054
2460339.87533971      14.4908       0.0054
2460339.87760231      14.4726       0.0054
2460339.87986729      14.4592       0.0054
2460339.88213205      14.4446       0.0054
2460339.88439694      14.4389       0.0054
2460339.88666377      14.4436       0.0054
2460339.88892806      14.4294       0.0054
2460339.89119282      14.4178       0.0054
2460339.89345996      14.4177       0.0054
2460339.89572380      14.4216       0.0054
2460339.89798848      14.4266       0.0054
2460339.90025349      14.4178       0.0054
2460339.90251974      14.4268       0.0054
2460339.90478600      14.4194       0.0054
2460339.90705215      14.4269       0.0054
2460339.90931662      14.4374       0.0054
2460339.91158350      14.4424       0.0054
2460339.91384664      14.4461       0.0054
2460339.91610980      14.4577       0.0054
2460339.91837641      14.4747       0.0054
2460339.92063933      14.4749       0.0054
2460339.92290405      14.4870       0.0054
2460339.92516920      14.5042       0.0054
2460339.92743593      14.5023       0.0054
2460339.92970106      14.5240       0.0054
2460339.93196687      14.5424       0.0054
2460339.93423258      14.5400       0.0054
2460339.93650000      14.5572       0.0054
2460339.93876385      14.5865       0.0054
2460339.94102990      14.5915       0.0054
2460339.94329938      14.6106       0.0063
2460339.94556714      14.6359       0.0063
2460339.94783378      14.6439       0.0063
2460339.95010122      14.6497       0.0063
2460339.95236529      14.6796       0.0063
2460339.95463434      14.6689       0.0063
2460339.95690107      14.7048       0.0063
2460339.95916829      14.7040       0.0063
2460339.96143402      14.6991       0.0063
2460339.96370304      14.7068       0.0063
2460339.96597229      14.7081       0.0063
2460339.96824039      14.6822       0.0063
2460339.97050908      14.6590       0.0063
2460339.97277630      14.6466       0.0063
2460339.97504269      14.6389       0.0063
2460339.97731194      14.6150       0.0063
2460339.97958062      14.5971       0.0063
2460339.98184726      14.5675       0.0063
2460339.98412190      14.5657       0.0063
2460339.98638034      14.5636       0.0063
2460339.98864697      14.5354       0.0063
2460339.99091383      14.5301       0.0063
2460339.99318134      14.5117       0.0063
2460339.99545073      14.4999       0.0063
2460339.99771809      14.4919       0.0063
2460339.99998706      14.5010       0.0063
