#     HJD               I           errI
2459931.00605257      12.8639       0.0045
2459931.00812443      12.8462       0.0036
2459931.01018471      12.8477       0.0036
2459931.01224499      12.8299       0.0036
2459931.01431685      12.8263       0.0036
2459931.01637713      12.8131       0.0045
2459931.01843742      12.8013       0.0036
2459931.02050927      12.7883       0.0036
2459931.02256956      12.7947       0.0036
2459931.02464141      12.7728       0.0036
2459931.02670170      12.7840       0.0036
2459931.02877355      12.7634       0.0036
2459931.03083384      12.7554       0.0036
2459931.03289412      12.7576       0.0045
2459931.03475763      12.7880       0.0045
2459931.03681792      12.7494       0.0045
2459931.03888977      12.7442       0.0045
2459931.04095006      12.7423       0.0045
2459931.04302191      12.7387       0.0058
2459931.04508220      12.7471       0.0058
2459931.04715405      12.7413       0.0067
2459931.04921434      12.7551       0.0058
2459931.05128619      12.7484       0.0058
2459931.05334648      12.7492       0.0058
2459931.05541833      12.7518       0.0058
2459931.05747862      12.7568       0.0058
2460339.62515711      12.8133       0.0045
2460339.62741274      12.7986       0.0045
2460339.62966850      12.7953       0.0045
2460339.63192517      12.7824       0.0045
2460339.63418390      12.7777       0.0045
2460339.63644172      12.7814       0.0045
2460339.63869860      12.7639       0.0045
2460339.64095746      12.7580       0.0045
2460339.64547322      12.7657       0.0045
2460339.64773318      12.7657       0.0045
2460339.64999145      12.7573       0.0045
2460339.65224915      12.7646       0.0045
2460339.65450779      12.7746       0.0045
2460339.65676471      12.7817       0.0045
2460339.65902228      12.7725       0.0045
2460339.66127880      12.7793       0.0045
2460339.66353508      12.7923       0.0045
2460339.66579299      12.7946       0.0045
2460339.66805031      12.7964       0.0045
2460339.67257716      12.8171       0.0045
2460339.67482473      12.8274       0.0045
2460339.67708204      12.8374       0.0045
2460339.67934100      12.8444       0.0045
2460339.68159687      12.8588       0.0045
2460339.68385658      12.8732       0.0045
2460339.68611593      12.8770       0.0045
2460339.68837402      12.8903       0.0045
2460339.69064050      12.9084       0.0045
2460339.69289169      12.9194       0.0045
2460339.69515093      12.9375       0.0045
2460339.69741006      12.9484       0.0045
2460339.69966773      12.9596       0.0045
2460339.70192626      12.9817       0.0045
